attacker,defender,effectiveness
psychic,ground,1.0
psychic,flying,1.0
psychic,psychic,0.5
psychic,bug,1.0
psychic,rock,1.0
psychic,ghost,1.0
psychic,dragon,1.0
psychic,dark,0.0
psychic,steel,0.5
psychic,fairy,1.0
bug,normal,1.0
bug,fire,0.5
bug,water,1.0
bug,electric,1.0
bug,grass,2.0
bug,ice,1.0
bug,fighting,0.5
bug,poison,0.5
bug,ground,1.0
bug,flying,0.5
bug,psychic,2.0
bug,bug,1.0
bug,rock,1.0
bug,ghost,0.5
bug,dragon,1.0
bug,dark,2.0
bug,steel,0.5
bug,fairy,0.5
rock,normal,1.0
rock,fire,2.0
rock,water,1.0
rock,electric,1.0
rock,grass,1.0
rock,ice,2.0
rock,fighting,0.5
rock,poison,1.0
rock,ground,0.5
rock,flying,2.0
rock,psychic,1.0
rock,bug,2.0
rock,rock,1.0
rock,ghost,1.0
rock,dragon,1.0
rock,dark,1.0
rock,steel,0.5
rock,fairy,1.0
ghost,normal,0.0
ghost,fire,1.0
ghost,water,1.0
ghost,electric,1.0
ghost,grass,1.0
ghost,ice,1.0
ghost,fighting,1.0
ghost,poison,1.0
ghost,ground,1.0
ghost,flying,1.0
ghost,psychic,2.0
ghost,bug,1.0
ghost,rock,1.0
ghost,ghost,2.0
ghost,dragon,1.0
ghost,dark,0.5
ghost,steel,1.0
ghost,fairy,1.0
dragon,normal,1.0
dragon,fire,1.0
dragon,water,1.0
dragon,electric,1.0
dragon,grass,1.0
dragon,ice,1.0
dragon,fighting,1.0
dragon,poison,1.0
dragon,ground,1.0
dragon,flying,1.0
dragon,psychic,1.0
dragon,bug,1.0
dragon,rock,1.0
dragon,ghost,1.0
dragon,dragon,2.0
dragon,dark,1.0
dragon,steel,0.5
dragon,fairy,0.0
dark,normal,1.0
dark,fire,1.0
dark,water,1.0
dark,electric,1.0
dark,grass,1.0
dark,ice,1.0
dark,fighting,0.5
dark,poison,1.0
dark,ground,1.0
dark,flying,1.0
dark,psychic,2.0
dark,bug,1.0
dark,rock,1.0
dark,ghost,2.0
dark,dragon,1.0
dark,dark,0.5
dark,steel,1.0
dark,fairy,0.5
steel,normal,1.0
steel,fire,0.5
steel,water,0.5
steel,electric,0.5
steel,grass,1.0
steel,ice,2.0
steel,fighting,1.0
steel,poison,1.0
steel,ground,1.0
steel,flying,1.0
steel,psychic,1.0
steel,bug,1.0
steel,rock,2.0
steel,ghost,1.0
steel,dragon,1.0
steel,dark,1.0
steel,steel,0.5
steel,fairy,2.0
fairy,normal,1.0
fairy,fire,0.5
fairy,water,1.0
fairy,electric,1.0
fairy,grass,1.0
fairy,ice,1.0
fairy,fighting,2.0
fairy,poison,0.5
fairy,ground,1.0
fairy,flying,1.0
fairy,psychic,1.0
fairy,bug,1.0
fairy,rock,1.0
fairy,ghost,1.0
fairy,dragon,2.0
fairy,dark,2.0
fairy,steel,0.5
fairy,fairy,1.0
